Constituency,State,Candidate Name,Party Name,Result Status
Agiaon (195),Bihar,SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation),WON
Vijapur (26),Gujarat,DR. C. J. CHAVDA,Bharatiya Janata Party,WON
Porbandar (83),Gujarat,ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party,WON
Manavadar (85),Gujarat,ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party,WON
Khambhat (108),Gujarat,CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party,WON
Vaghodia (136),Gujarat,DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party,WON
KARNAL (21),Haryana,NAYAB SINGH,Bharatiya Janata Party,WON
DHARAMSHALA (18),Himachal Pradesh,SUDHIR SHARMA,Bharatiya Janata Party,WON
LAHAUL & SPITI (21),Himachal Pradesh,ANURADHA RANA,Indian National Congress,WON
SUJANPUR (37),Himachal Pradesh,CAPTAIN RANJIT SINGH,Indian National Congress,WON
BARSAR (39),Himachal Pradesh,INDER DUTT LAKHANPAL,Bharatiya Janata Party,WON
GAGRET (42),Himachal Pradesh,RAKESH KALIA,Indian National Congress,WON
KUTLEHAR (45),Himachal Pradesh,VIVEK SHARMA (VICKU),Indian National Congress,WON
Gandey (31),Jharkhand,KALPANA MURMU SOREN,Jharkhand Mukti Morcha,WON
Shorapur (36),Karnataka,RAJA VENUGOPAL NAIK,Indian National Congress,WON
BAGIDORA  (165),Rajasthan,JAIKRISHN PATEL,Bharat Adivasi Party,WON
Vilavancode (233),Tamil Nadu,THARAHAI CUTHBERT,Indian National Congress,WON
Secunderabad Cantt (71),Telangana,SRIGANESH,Indian National Congress,WON
Ramnagar (7),Tripura,DIPAK MAJUMDER,Bharatiya Janata Party,WON
Dadraul (136),Uttar Pradesh,ARVIND KUMAR SINGH,Bharatiya Janata Party,WON
Lucknow East (173),Uttar Pradesh,O. P. SRIVASTAVA,Bharatiya Janata Party,WON
Gainsari (292),Uttar Pradesh,RAKESH KUMAR YADAV,Samajwadi Party,WON
Duddhi  (403),Uttar Pradesh,VIJAY SINGH,Samajwadi Party,WON
Bhagabangola (62),West Bengal,REYAT HOSSAIN SARKAR,All India Trinamool Congress,WON
Baranagar (113),West Bengal,SAYANTIKA BANERJEE,All India Trinamool Congress,WON
